,code,post_code,x,y
838,B81620,DN35 7DL,,
839,B81622,HU17 9BP,,
840,B81628,DN38 6HZ,,
841,B81631,HU7 5DD,,
842,B81634,HU7 4DW,,
843,B81635,HU11 4AR,,
844,B81642,DN35 0LN,,
845,B81644,HU8 9LF,,
846,B81645,HU9 3JA,,
847,B81647,DN18 5PU,,
848,B81648,DN40 3EL,,
849,B81653,HU16 4QX,,
850,B81655,DN36 4QG,,
851,B81656,DN34 5LP,,
852,B81658,HU13 0RG,,
853,B81663,DN31 2BH,,
854,B81664,DN31 3AE,,
855,B81665,DN41 7JB,,
856,B81666,HU14 3DB,,
857,B81671,DN34 5DA,,
858,B81674,HU8 9RW,,
859,B81675,HU3 6BX,,
860,B81677,DN32 9SW,,
861,B81679,HU14 3PE,,
862,B81682,HU8 9RW,,
863,B81683,HU3 6BX,,
864,B81685,HU7 4DW,,
865,B81686,DN16 2SZ,,
866,B81688,HU7 4DW,,
867,B81689,DN32 9SW,,
